TrialNum,Card,Rule,RespTime,StartX, StartY, EndX, EndY,MouseVeloc,Misclicks,Error,Streak,ResponseColor,ResponseShape,ResponseCount,CategoryComplete
1,4,1,2.9508307,0.111979167,0.4765625,0.296875,0.28125,0.09114341,0,1,0,0,3,3,0
2,4,1,2.1334497,0.296875,0.28125,0.299479167,0.2578125,0.011053334,0,1,0,2,1,1,0
3,4,1,3.0054803,0.299479167,0.2578125,0.266927083,0.298177083,0.017253471,0,0,1,0,0,2,0
4,3,1,3.0809332,0.263020833,0.296875,0.09375,0.311197917,0.055137749,0,0,2,1,3,3,0
5,2,1,7.0011176,0.09375,0.311197917,-0.154947917,0.299479167,0.035562017,0,1,0,3,0,1,0
6,1,1,3.6182501,-0.154947917,0.299479167,-0.3203125,0.298177083,0.045704334,0,2,0,2,2,0,0
7,4,1,1.9417431,-0.3203125,0.298177083,0.290364583,0.2734375,0.314757395,0,1,0,2,3,1,0
8,2,1,1.8795386,0.290364583,0.2734375,-0.102864583,0.305989583,0.209931427,0,0,1,3,2,0,0
9,1,1,2.4312083,-0.1015625,0.305989583,-0.25390625,0.259114583,0.065560912,0,0,2,1,1,2,0
10,4,1,1.3617493,-0.25390625,0.259114583,0.360677083,0.26953125,0.451383822,0,0,3,3,0,0,0
11,1,1,1.8969824,0.360677083,0.26953125,-0.31640625,0.266927083,0.356929164,0,0,4,2,1,2,0
12,2,1,1.1097035,-0.31640625,0.266927083,-0.08203125,0.270833333,0.211234397,0,0,5,0,2,3,0
13,1,1,1.5271853,-0.08203125,0.270833333,-0.26953125,0.231770833,0.125410971,0,0,6,3,1,1,1
14,1,0,1.3788318,-0.26953125,0.231770833,-0.286458333,0.213541667,0.018041553,0,1,0,3,1,3,0
15,4,0,4.0732167,-0.286458333,0.213541667,0.334635417,0.26953125,0.153100689,0,2,0,1,0,0,0
16,3,0,3.2792944,0.334635417,0.26953125,0.057291667,0.247395833,0.084843156,0,1,0,2,2,2,0
17,1,0,2.2992305,0.057291667,0.247395833,-0.315104167,0.272135417,0.162322437,0,0,1,0,2,2,0
18,3,0,2.2483418,-0.315104167,0.272135417,0.083333333,0.240885417,0.177758164,0,0,2,3,2,3,0
19,1,0,2.777963,0.083333333,0.240885417,-0.279947917,0.23828125,0.13077589,0,0,3,0,0,1,0
20,2,0,0.9136237,-0.279947917,0.23828125,-0.130208333,0.2421875,0.163952102,0,0,4,1,1,3,0
21,4,0,1.0709256,-0.12890625,0.2421875,0.3203125,0.305989583,0.423677425,0,0,5,2,3,0,0
22,2,0,1.6729066,0.3203125,0.3046875,-0.114583333,0.221354167,0.264693733,0,0,6,1,0,2,1
23,1,1,1.7901955,-0.114583333,0.221354167,-0.272135417,0.23828125,0.088514791,0,1,0,0,3,1,0
24,3,1,1.6656133,-0.272135417,0.23828125,0.125,0.27734375,0.23958256,0,0,1,1,3,0,0
25,3,1,1.4875975,0.108072917,0.266927083,0.106770833,0.266927083,0.000875293,0,0,2,0,3,3,0
26,1,1,2.1699207,0.106770833,0.266927083,-0.23046875,0.223958333,0.156672064,0,0,3,2,1,1,0
27,4,1,1.3195492,-0.23046875,0.223958333,0.282552083,0.286458333,0.391659453,0,0,4,0,0,2,0
28,3,1,1.5386517,0.28125,0.286458333,0.119791667,0.24609375,0.108164467,0,0,5,1,3,3,0
29,4,1,1.718416,0.119791667,0.24609375,0.287760417,0.3125,0.105107953,0,0,6,3,0,1,1
30,2,0,2.1520478,0.287760417,0.3125,-0.1328125,0.309895833,0.195432917,0,1,0,2,2,0,0
31,3,0,3.7883979,-0.1328125,0.309895833,0.075520833,0.303385417,0.055019309,0,2,0,2,3,1,0
32,1,0,2.1978102,0.075520833,0.303385417,-0.34375,0.236979167,0.193145495,0,1,0,3,2,0,0
33,3,0,4.5593122,-0.34375,0.236979167,0.109375,0.25,0.099425532,0,2,0,1,1,2,0
34,1,0,2.4314595,0.109375,0.25,-0.266927083,0.2578125,0.154797221,0,2,0,3,0,0,0
35,1,0,4.4254371,-0.266927083,0.2578125,-0.30859375,0.239583333,0.010276909,0,1,0,2,1,2,0
36,4,0,1.442156,-0.30859375,0.239583333,0.317708333,0.299479167,0.43626321,0,1,0,0,2,3,0
37,1,0,2.9893319,0.317708333,0.299479167,-0.266927083,0.231770833,0.196881152,0,1,0,3,1,1,0
38,3,0,2.4748805,-0.266927083,0.231770833,0.110677083,0.287760417,0.154242821,0,0,1,3,1,3,0
39,2,0,2.6037947,0.096354167,0.28515625,-0.08203125,0.244791667,0.070241792,0,0,2,1,0,0,0
40,4,0,1.6873423,-0.08203125,0.244791667,0.291666667,0.2734375,0.222121044,0,0,3,2,2,2,0
41,3,0,4.1401639,0.2890625,0.2734375,0.10546875,0.26171875,0.044434804,0,1,0,0,2,2,0
42,4,0,1.9856664,0.10546875,0.26171875,0.321614583,0.287760417,0.109640248,0,2,0,3,2,3,0
43,4,0,2.8965802,0.321614583,0.287760417,0.30078125,0.296875,0.007850605,0,1,0,0,0,1,0
44,2,0,1.6807212,0.30078125,0.296875,-0.071614583,0.345052083,0.22341555,0,0,1,1,1,3,0
45,4,0,1.7865021,-0.0703125,0.345052083,0.337239583,0.283854167,0.2306861,0,0,2,2,3,0,0
46,2,0,1.3693402,0.337239583,0.283854167,-0.122395833,0.272135417,0.335771039,0,0,3,1,0,2,0
47,1,0,1.2663634,-0.122395833,0.272135417,-0.264322917,0.252604167,0.113130776,0,0,4,0,3,1,0
48,2,0,2.5556843,-0.264322917,0.252604167,-0.091145833,0.274739583,0.068312828,0,0,5,1,3,0,0
